duration_time,energy_consumption,relative EDP
4.559769946s,581.18Joules,3.081334933284193
3.106182408s,432.19Joules,1.5609427858535088
2.64773768s,353.49Joules,1.0882718700111833
2.378972429s,356.35Joules,0.985715276315541
2.284398875s,317.86Joules,0.8442928897912843
2.23598038s,328.41Joules,0.8538265917816686
2.148839766s,329.94Joules,0.8243740599193865
2.086951877s,381.47Joules,0.925674157206016
2.085576376s,373.15Joules,0.9048880646344197
2.078072921s,376.14Joules,0.9088571299930127
2.089643879s,389.67Joules,0.9467919699314011
4.576741184s,634.24Joules,3.3751672421212255
3.25802959s,444.24Joules,1.6828987970988807
2.650198096s,362.99Joules,1.1185574988278895
2.302670648s,326.58Joules,0.8743931062973909
2.234719724s,310.75Joules,0.8074572060346428
2.112878547s,321.76Joules,0.7904818487678613
2.090505399s,359.39Joules,0.8735798287007853
2.086031228s,373.37Joules,0.9056190313737558
2.111532189s,339.24Joules,0.8328946570050588
2.08819574s,343.32Joules,0.8335960048125686
2.117557485s,368.74Joules,0.9079057684779481
4.627782691s,635.36Joules,3.418835007518066
3.246939083s,450.73Joules,1.701672267232415
2.654750015s,378.92Joules,1.1696514829167253
2.369161813s,337.09Joules,0.9285940748332407
2.161113814s,322.61Joules,0.8106637993140755
2.116889034s,319.76Joules,0.787059460683475
2.109785658s,351.23Joules,0.8616189749962425
1.990383564s,369.3Joules,0.8546757851429235
2.015836326s,363.07Joules,0.8510027185992027
2.10985103s,354.56Joules,0.8698149064680212
2.045857827s,360.09Joules,0.8565876843034805
4.549333987s,662.06Joules,3.502115672268275
3.188790916s,442.99Joules,1.6424996360696722
2.677774941s,366.53Joules,1.1412187939127685
2.350440589s,358.95Joules,0.9809989692932914
2.284561546s,336.89Joules,0.8949036872993167
2.141703836s,336.08Joules,0.8369266521113254
2.100307801s,325.95Joules,0.7960113239994099
2.161508841s,375.36Joules,0.9433879439498402
2.03953951s,353.61Joules,0.8385751264546909
2.058623083s,367.7Joules,0.8801481555877535
2.099921343s,367.03Joules,0.8961689787114928
4.802346065s,668.9Joules,3.735080479718783
3.187811255s,447.88Joules,1.6601203925374521
2.640998145s,366.56Joules,1.1256373192600513
2.299390934s,346.69Joules,0.9269140066621377
2.183085673s,341.22Joules,0.8661449414928294
2.095168926s,340.65Joules,0.829875135973689
2.200494116s,350.22Joules,0.8960793527410332
2.034984748s,348.56Joules,0.8247532217566628
2.139003978s,382.21Joules,0.9506025020309509
2.064711663s,385.49Joules,0.9254604052549564
2.145949414s,400.77Joules,1.0
