Configuration,duration_time,energy_consumption,%Overhead (duration_time),%Overhead (energy_consumption)
PCoreFirst - 50Watt - 2cores,28.487753103s,1199.0Joules,377.4%,80.6%
PCoreFirst - 50Watt - 4cores,16.417403952s,851.0Joules,175.1%,28.2%
PCoreFirst - 50Watt - 8cores,11.089530978s,575.0Joules,85.8%,-13.4%
PCoreFirst - 50Watt - 12cores,9.252347894s,485.0Joules,55.0%,-27.0%
PCoreFirst - 50Watt - 16cores,7.93408222s,421.0Joules,33.0%,-36.6%
PCoreFirst - 50Watt - 20cores,7.47485665s,397.0Joules,25.3%,-40.2%
PCoreFirst - 50Watt - 24cores,6.216940171s,676.0Joules,4.2%,1.8%
PCoreFirst - 50Watt - 28cores,5.930277587s,652.0Joules,-0.6%,-1.8%
PCoreFirst - 50Watt - 32cores,5.847695095s,658.0Joules,-2.0%,-0.9%
PCoreFirst - 75Watt - 2cores,28.348728504s,1198.0Joules,375.0%,80.4%
PCoreFirst - 75Watt - 4cores,15.708025936s,986.0Joules,163.2%,48.5%
PCoreFirst - 75Watt - 8cores,9.835559598s,787.0Joules,64.8%,18.5%
PCoreFirst - 75Watt - 12cores,8.23618468s,928.0Joules,38.0%,39.8%
PCoreFirst - 75Watt - 16cores,6.12686517s,826.0Joules,2.7%,24.4%
PCoreFirst - 75Watt - 20cores,5.737649415s,750.0Joules,-3.9%,13.0%
PCoreFirst - 75Watt - 24cores,6.308505155s,681.0Joules,5.7%,2.6%
PCoreFirst - 75Watt - 28cores,5.902703003s,646.0Joules,-1.1%,-2.7%
PCoreFirst - 75Watt - 32cores,6.010113181s,650.0Joules,0.7%,-2.1%
PCoreFirst - 100Watt - 2cores,28.375076646s,1193.0Joules,375.5%,79.7%
PCoreFirst - 100Watt - 4cores,15.691879499s,981.0Joules,162.9%,47.7%
PCoreFirst - 100Watt - 8cores,9.619020167s,918.0Joules,61.2%,38.3%
PCoreFirst - 100Watt - 12cores,7.528867002s,927.0Joules,26.2%,39.6%
PCoreFirst - 100Watt - 16cores,6.222831299s,825.0Joules,4.3%,24.2%
PCoreFirst - 100Watt - 20cores,5.802438031s,742.0Joules,-2.8%,11.7%
PCoreFirst - 100Watt - 24cores,6.371849305s,668.0Joules,6.8%,0.6%
PCoreFirst - 100Watt - 28cores,6.159660614s,661.0Joules,3.2%,-0.5%
PCoreFirst - 100Watt - 32cores,5.819683818s,653.0Joules,-2.5%,-1.7%
PCoreFirst - 175Watt - 2cores,28.340742954s,1190.0Joules,374.9%,79.2%
PCoreFirst - 175Watt - 4cores,15.74521145s,982.0Joules,163.8%,47.9%
PCoreFirst - 175Watt - 8cores,9.591020605s,923.0Joules,60.7%,39.0%
PCoreFirst - 175Watt - 12cores,7.467932724s,938.0Joules,25.1%,41.3%
PCoreFirst - 175Watt - 16cores,6.122080223s,855.0Joules,2.6%,28.8%
PCoreFirst - 175Watt - 20cores,5.952142814s,754.0Joules,-0.3%,13.6%
PCoreFirst - 175Watt - 24cores,6.288641075s,678.0Joules,5.4%,2.1%
PCoreFirst - 175Watt - 28cores,6.141706218s,664.0Joules,2.9%,0.0%
PCoreFirst - 175Watt - 32cores,5.934191027s,673.0Joules,-0.6%,1.4%
PCoreFirst - 253Watt - 2cores,28.393022002s,1189.0Joules,375.8%,79.1%
PCoreFirst - 253Watt - 4cores,15.768015809s,985.0Joules,164.2%,48.3%
PCoreFirst - 253Watt - 8cores,9.605841627s,923.0Joules,61.0%,39.0%
PCoreFirst - 253Watt - 12cores,7.403443071s,929.0Joules,24.1%,39.9%
PCoreFirst - 253Watt - 16cores,6.147161644s,869.0Joules,3.0%,30.9%
PCoreFirst - 253Watt - 20cores,5.798404083s,752.0Joules,-2.8%,13.3%
PCoreFirst - 253Watt - 24cores,6.284682772s,682.0Joules,5.3%,2.7%
PCoreFirst - 253Watt - 28cores,6.08647296s,663.0Joules,2.0%,-0.2%
PCoreFirst - 253Watt - 32cores,5.96766894s,664.0Joules,0.0%,0.0%
