Configuration,duration_time,energy_consumption,%Overhead (duration_time),%Overhead (energy_consumption)
Balanced - 50Watt - 2cores,8.853967569s,337.0Joules,325.0%,-16.4%
Balanced - 50Watt - 4cores,5.276629867s,274.0Joules,153.3%,-32.0%
Balanced - 50Watt - 8cores,3.418105767s,204.0Joules,64.1%,-49.4%
Balanced - 50Watt - 12cores,3.013940761s,173.0Joules,44.7%,-57.1%
Balanced - 50Watt - 16cores,2.713112142s,160.0Joules,30.2%,-60.3%
Balanced - 50Watt - 20cores,2.583381766s,158.0Joules,24.0%,-60.8%
Balanced - 50Watt - 24cores,2.696949785s,157.0Joules,29.5%,-61.0%
Balanced - 50Watt - 28cores,3.227263857s,177.0Joules,54.9%,-56.1%
Balanced - 50Watt - 32cores,3.782015761s,200.0Joules,81.5%,-50.4%
Balanced - 75Watt - 2cores,8.844497644s,337.0Joules,324.5%,-16.4%
Balanced - 75Watt - 4cores,5.251152892s,274.0Joules,152.0%,-32.0%
Balanced - 75Watt - 8cores,3.296470521s,267.0Joules,58.2%,-33.7%
Balanced - 75Watt - 12cores,2.574940025s,294.0Joules,23.6%,-27.0%
Balanced - 75Watt - 16cores,2.27337614s,285.0Joules,9.1%,-29.3%
Balanced - 75Watt - 20cores,2.154730308s,331.0Joules,3.4%,-17.9%
Balanced - 75Watt - 24cores,2.204551834s,326.0Joules,5.8%,-19.1%
Balanced - 75Watt - 28cores,2.071756691s,371.0Joules,-0.6%,-7.9%
Balanced - 75Watt - 32cores,2.087117247s,340.0Joules,0.2%,-15.6%
Balanced - 100Watt - 2cores,8.831997048s,336.0Joules,323.9%,-16.6%
Balanced - 100Watt - 4cores,5.216602784s,272.0Joules,150.4%,-32.5%
Balanced - 100Watt - 8cores,3.258733644s,267.0Joules,56.4%,-33.7%
Balanced - 100Watt - 12cores,2.568958954s,293.0Joules,23.3%,-27.3%
Balanced - 100Watt - 16cores,2.288088962s,292.0Joules,9.8%,-27.5%
Balanced - 100Watt - 20cores,2.170849072s,307.0Joules,4.2%,-23.8%
Balanced - 100Watt - 24cores,2.129457244s,352.0Joules,2.2%,-12.7%
Balanced - 100Watt - 28cores,2.134215995s,349.0Joules,2.4%,-13.4%
Balanced - 100Watt - 32cores,2.197171458s,334.0Joules,5.5%,-17.1%
Balanced - 175Watt - 2cores,8.83435524s,337.0Joules,324.0%,-16.4%
Balanced - 175Watt - 4cores,5.270232983s,278.0Joules,153.0%,-31.0%
Balanced - 175Watt - 8cores,3.328676069s,269.0Joules,59.8%,-33.3%
Balanced - 175Watt - 12cores,2.579838658s,290.0Joules,23.8%,-28.0%
Balanced - 175Watt - 16cores,2.287165959s,324.0Joules,9.8%,-19.6%
Balanced - 175Watt - 20cores,2.15759703s,345.0Joules,3.6%,-14.4%
Balanced - 175Watt - 24cores,2.125016235s,361.0Joules,2.0%,-10.4%
Balanced - 175Watt - 28cores,2.083572377s,390.0Joules,0.0%,-3.2%
Balanced - 175Watt - 32cores,2.175509111s,397.0Joules,4.4%,-1.5%
Balanced - 253Watt - 2cores,8.863952878s,337.0Joules,325.5%,-16.4%
Balanced - 253Watt - 4cores,5.197733634s,272.0Joules,149.5%,-32.5%
Balanced - 253Watt - 8cores,3.279773178s,267.0Joules,57.4%,-33.7%
Balanced - 253Watt - 12cores,2.585659229s,309.0Joules,24.1%,-23.3%
Balanced - 253Watt - 16cores,2.239657178s,312.0Joules,7.5%,-22.6%
Balanced - 253Watt - 20cores,2.239694978s,312.0Joules,7.5%,-22.6%
Balanced - 253Watt - 24cores,2.069314012s,362.0Joules,-0.7%,-10.2%
Balanced - 253Watt - 28cores,2.127207789s,355.0Joules,2.1%,-11.9%
Balanced - 253Watt - 32cores,2.083386502s,403.0Joules,0.0%,0.0%
