duration_time,energy_consumption,relative EDP
503.09153476s,1858.77Joules,15.240707650342411
409.723765523s,1531.48Joules,10.226686745370962
301.693022104s,1105.85Joules,5.437433467170527
238.60051284s,989.99Joules,3.8497688024955297
200.811833596s,981.87Joules,3.213481179544107
181.919453669s,904.95Joules,2.6830959003618022
160.906177962s,914.24Joules,2.397537484984722
153.510939601s,835.17Joules,2.089520728737442
49.947703399s,1005.61Joules,0.818610999273139
46.734302264s,1246.94Joules,0.9497598099753405
44.349548707s,1391.49Joules,1.0057771452442232
730.225009991s,1860.01Joules,22.136270374328102
617.486872443s,1541.2Joules,15.51026427302212
431.903988114s,1097.43Joules,7.724964825941138
363.626251208s,985.31Joules,5.839297300276585
296.98416992s,967.2Joules,4.681467976073045
250.820825802s,895.5Joules,3.6606790331806045
210.305541664s,932.58Joules,3.196460060581614
197.973238256s,845.31Joules,2.727438469908578
157.004894875s,1006.62Joules,2.5757945239588813
155.722961057s,1238.46Joules,3.1431644629757316
144.220626045s,1382.29Joules,3.249069571308517
798.851798258s,1865.43Joules,24.287210796548422
535.543343328s,1535.25Joules,13.400043240300326
354.320024771s,1116.7Joules,6.448588760680099
284.854092293s,1015.85Joules,4.716116407276449
236.984350676s,985.97Joules,3.8081657026152236
206.471767316s,914.65Joules,3.0778544760669013
172.92921069s,930.06Joules,2.62127022315967
160.93715991s,833.68Joules,2.186694859908771
148.585009315s,996.05Joules,2.4120627613283747
143.739952018s,1255.78Joules,2.941870327136961
128.805027914s,1382.94Joules,2.9031442981802322
744.672384634s,1872.9Joules,22.730673646690008
494.938772558s,1542.81Joules,12.445042679299489
365.195690725s,1106.84Joules,6.5878387155377185
274.111221931s,997.25Joules,4.4551602378283
233.515653661s,986.22Joules,3.753377726501318
194.271291879s,918.1Joules,2.9069066391618628
157.835890797s,934.05Joules,2.4027487427846013
142.914255714s,993.9Joules,2.314998482661943
139.251422126s,1011.4Joules,2.2953824494089847
129.672029963s,1252.9Joules,2.6478610248248557
130.736863577s,1399.9Joules,2.9828234151101616
209.905034541s,1870.7Joules,6.3996978442585775
136.931108332s,1552.68Joules,3.465106207453546
100.972400654s,1117.97Joules,1.8397774854126112
84.107170936s,1018.91Joules,1.3966941622617937
69.769381998s,984.33Joules,1.1192782534150811
65.080273245s,915.05Joules,0.9705695485261919
51.384312948s,940.69Joules,0.7877883417465817
49.618491032s,849.21Joules,0.6867380650572065
50.352849398s,996.83Joules,0.8180458008934207
46.633721046s,1253.26Joules,0.9525191535190836
43.970304811s,1395.43Joules,1.0
