duration_time,energy_consumption,relative EDP
996.099594732s,11327.18Joules,111.07668353801317
610.657113407s,9057.49Joules,54.45071948869069
494.548986467s,6796.49Joules,33.08966248853531
341.824649545s,5390.94Joules,18.141208488252794
293.300820685s,4760.29Joules,13.745008990339537
247.355542173s,4544.6Joules,11.066636589442554
216.422524272s,4193.35Joules,8.934328356645986
190.540845975s,3139.39Joules,5.888866359923711
1095.177098283s,15969.63Joules,172.17795553063897
642.900961333s,9136.99Joules,57.82898420771346
474.087925689s,6862.23Joules,32.02746046626775
364.015748862s,5419.67Joules,19.42188400197252
291.818319399s,4927.04Joules,14.15457973204653
269.509116872s,4815.97Joules,12.777784897466715
239.219267926s,4635.71Joules,10.91718715733239
209.629460154s,2575.06Joules,5.3142013782209565
1071.760274354s,17184.29Joules,181.31243387040723
637.023024213s,9913.48Joules,62.169819048000974
454.83563221s,6839.99Joules,30.627269930368193
345.804456043s,6229.25Joules,21.206289464324577
289.220936217s,4423.22Joules,12.59408462760383
258.214650298s,3986.94Joules,10.134887170159793
224.931033577s,1567.44Joules,3.470872363391342
197.532912849s,1634.74Joules,3.1789704895294526
871.903263633s,18048.03Joules,154.91606125700304
645.556072269s,10417.0Joules,66.20258898954565
484.067428912s,7305.17Joules,34.81244509294137
373.48394063s,5937.79Joules,21.832079564563188
294.499255051s,4900.3Joules,14.207092505569694
244.177183004s,4526.31Joules,10.88047143039772
231.449969001s,4512.36Joules,10.281564556344254
203.912310397s,4342.42Joules,8.717131764171487
297.307586217s,5485.85Joules,16.05640294477448
171.715218543s,2966.94Joules,5.01551911230612
127.452389782s,2306.61Joules,2.8941463770630182
97.379216221s,1833.43Joules,1.757636031652864
84.074008977s,1621.23Joules,1.3418523383417575
82.053101423s,1659.13Joules,1.3402127840918583
70.125688557s,1495.33Joules,1.032315680160623
66.022637415s,1538.54Joules,1.0
