duration_time,energy_consumption,relative EDP
9.412826752s,86.42Joules,4.682954609780169
5.888255437s,59.65Joules,2.0220072609369777
4.82639346s,51.36Joules,1.4270308433269157
4.062446676s,43.82Joules,1.024815458319138
3.529417619s,42.47Joules,0.8629207879961233
3.22162741s,42.81Joules,0.7939737797683595
3.018703408s,42.86Joules,0.7448318386825657
2.747639362s,46.77Joules,0.7397972630567128
2.548149489s,54.18Joules,0.7947847479265244
2.373229516s,65.92Joules,0.9006220191682393
2.318240635s,71.28Joules,0.9512875787902516
9.480302175s,91.23Joules,4.979038404886806
6.580480791s,63.85Joules,2.4188233274019106
5.118479386s,54.37Joules,1.6020863219576125
4.101982558s,44.12Joules,1.0418733614641469
3.541148198s,41.27Joules,0.8413257713912516
3.137560581s,42.95Joules,0.775784162399229
2.889239852s,42.02Joules,0.6989164553332725
2.663985104s,44.86Joules,0.6879813768483632
2.521692078s,56.03Joules,0.8133890050966124
2.375319868s,64.02Joules,0.8754339647218898
2.325341387s,72.63Joules,0.9722733603666295
9.533417549s,90.79Joules,4.982786188550819
6.427885501s,63.47Joules,2.3486713572703106
5.171537201s,48.42Joules,1.4415511576888025
3.977862194s,44.8Joules,1.0259196984924301
3.452107505s,41.11Joules,0.8169912585319359
3.132086546s,41.78Joules,0.753334419617506
2.94180413s,44.06Joules,0.7461804515034319
2.657084733s,44.97Joules,0.6878819482738878
2.567970249s,56.97Joules,0.8422127822627095
2.343546113s,66.79Joules,0.9010949750587982
2.40161297s,75.1Joules,1.0383136856931288
9.584264262s,93.85Joules,5.178198299608468
6.584759998s,65.07Joules,2.466643454481699
4.977752329s,53.27Joules,1.5265168484056406
4.140298828s,46.92Joules,1.1183437426337446
3.395414184s,44.65Joules,0.872770066506701
3.08623932s,42.2Joules,0.7497693313859274
2.852000237s,43.06Joules,0.7069833790219446
2.716317027s,45.94Joules,0.7183846894260164
2.601642107s,56.04Joules,0.8393272059559826
2.38963314s,67.12Joules,0.9233552043755372
2.319014549s,72.77Joules,0.9714970121464229
9.153998378s,91.89Joules,4.842445077366162
6.283842077s,61.49Joules,2.224412751702432
4.834293526s,50.92Joules,1.4171213208660414
4.089561115s,45.4Joules,1.0688534825782916
3.461203747s,42.13Joules,0.8394681925061533
3.202874127s,42.27Joules,0.7793952237956059
2.90059104s,41.85Joules,0.6988236342827443
2.650130511s,43.71Joules,0.6668584976542381
2.58848623s,55.65Joules,0.8292713256208797
2.403647118s,66.2Joules,0.9160397493261364
2.356611365s,73.71Joules,1.0
