Configuration,duration_time,energy_consumption,%Overhead (duration_time),%Overhead (energy_consumption)
ECoreFirst - 50Watt - 2cores,23.698147836s,822.0Joules,302.4%,25.3%
ECoreFirst - 50Watt - 4cores,14.041282146s,644.0Joules,138.4%,-1.8%
ECoreFirst - 50Watt - 8cores,9.214136599s,581.0Joules,56.5%,-11.4%
ECoreFirst - 50Watt - 12cores,7.901713998s,576.0Joules,34.2%,-12.2%
ECoreFirst - 50Watt - 16cores,7.413415071s,505.0Joules,25.9%,-23.0%
ECoreFirst - 50Watt - 20cores,6.931595017s,561.0Joules,17.7%,-14.5%
ECoreFirst - 50Watt - 24cores,6.584197551s,608.0Joules,11.8%,-7.3%
ECoreFirst - 50Watt - 28cores,6.258459504s,645.0Joules,6.3%,-1.7%
ECoreFirst - 50Watt - 32cores,6.067402825s,679.0Joules,3.0%,3.5%
ECoreFirst - 75Watt - 2cores,23.643514591s,827.0Joules,301.5%,26.1%
ECoreFirst - 75Watt - 4cores,14.1333711s,642.0Joules,140.0%,-2.1%
ECoreFirst - 75Watt - 8cores,9.217732005s,583.0Joules,56.5%,-11.1%
ECoreFirst - 75Watt - 12cores,7.899742036s,576.0Joules,34.2%,-12.2%
ECoreFirst - 75Watt - 16cores,7.713894727s,507.0Joules,31.0%,-22.7%
ECoreFirst - 75Watt - 20cores,6.830949482s,559.0Joules,16.0%,-14.8%
ECoreFirst - 75Watt - 24cores,6.592489344s,614.0Joules,12.0%,-6.4%
ECoreFirst - 75Watt - 28cores,6.083717819s,658.0Joules,3.3%,0.3%
ECoreFirst - 75Watt - 32cores,6.097971659s,673.0Joules,3.6%,2.6%
ECoreFirst - 100Watt - 2cores,23.775176096s,829.0Joules,303.7%,26.4%
ECoreFirst - 100Watt - 4cores,14.00451931s,642.0Joules,137.8%,-2.1%
ECoreFirst - 100Watt - 8cores,9.192945032s,582.0Joules,56.1%,-11.3%
ECoreFirst - 100Watt - 12cores,7.899426894s,570.0Joules,34.1%,-13.1%
ECoreFirst - 100Watt - 16cores,7.425483036s,505.0Joules,26.1%,-23.0%
ECoreFirst - 100Watt - 20cores,6.956860388s,562.0Joules,18.1%,-14.3%
ECoreFirst - 100Watt - 24cores,6.598560734s,613.0Joules,12.1%,-6.6%
ECoreFirst - 100Watt - 28cores,6.282113268s,647.0Joules,6.7%,-1.4%
ECoreFirst - 100Watt - 32cores,6.060428517s,652.0Joules,2.9%,-0.6%
ECoreFirst - 175Watt - 2cores,23.684501405s,822.0Joules,302.2%,25.3%
ECoreFirst - 175Watt - 4cores,14.067156157s,644.0Joules,138.9%,-1.8%
ECoreFirst - 175Watt - 8cores,9.258007997s,583.0Joules,57.2%,-11.1%
ECoreFirst - 175Watt - 12cores,8.140228637s,571.0Joules,38.2%,-13.0%
ECoreFirst - 175Watt - 16cores,7.512900936s,504.0Joules,27.6%,-23.2%
ECoreFirst - 175Watt - 20cores,7.029119304s,560.0Joules,19.4%,-14.6%
ECoreFirst - 175Watt - 24cores,6.672717416s,615.0Joules,13.3%,-6.2%
ECoreFirst - 175Watt - 28cores,5.91329412s,659.0Joules,0.4%,0.5%
ECoreFirst - 175Watt - 32cores,5.951388014s,640.0Joules,1.1%,-2.4%
ECoreFirst - 253Watt - 2cores,23.752150755s,824.0Joules,303.4%,25.6%
ECoreFirst - 253Watt - 4cores,14.085158155s,647.0Joules,139.2%,-1.4%
ECoreFirst - 253Watt - 8cores,9.25714162s,583.0Joules,57.2%,-11.1%
ECoreFirst - 253Watt - 12cores,7.921795677s,576.0Joules,34.5%,-12.2%
ECoreFirst - 253Watt - 16cores,7.39068891s,507.0Joules,25.5%,-22.7%
ECoreFirst - 253Watt - 20cores,7.103156887s,563.0Joules,20.6%,-14.2%
ECoreFirst - 253Watt - 24cores,6.498616344s,616.0Joules,10.4%,-6.1%
ECoreFirst - 253Watt - 28cores,5.906835655s,659.0Joules,0.3%,0.5%
ECoreFirst - 253Watt - 32cores,5.888676922s,656.0Joules,0.0%,0.0%
