duration_time,energy_consumption,relative EDP
13.690777904s,251.95Joules,32.10081015185546
7.932009601s,131.64Joules,9.717277607755381
5.679064625s,96.15Joules,5.081589798541186
4.265077071s,77.86Joules,3.0904006605955328
3.469182366s,63.7Joules,2.0565537643557237
2.963521588s,58.69Joules,1.6186230100674328
2.618027706s,51.92Joules,1.2649764119241098
2.202619086s,50.08Joules,1.0265431835358814
13.631605017s,250.38Joules,31.762899026872237
8.000085816s,133.45Joules,9.935431397588292
5.65054678s,95.24Joules,5.008219636205583
4.306169651s,77.28Joules,3.0969326051054105
3.382458415s,63.33Joules,1.9934964159000443
2.989861002s,59.84Joules,1.6650070954467293
2.550422063s,53.44Joules,1.2683876693253548
2.223133282s,49.6Joules,1.0261732328409985
13.698103822s,249.53Joules,31.809491405901255
8.042530268s,131.47Joules,9.83994955895856
5.716677026s,94.69Joules,5.037572139446714
4.335164085s,74.56Joules,3.008049264245449
3.38906837s,60.46Joules,1.9068739168317437
3.00064237s,58.16Joules,1.624097659181868
2.579670418s,50.04Joules,1.2013098269814857
2.213459789s,48.14Joules,0.9916335865948852
13.768830533s,252.86Joules,32.40042399554227
8.019211514s,133.49Joules,9.962169043516276
5.736898426s,95.33Joules,5.089560237520358
4.2536816s,75.41Joules,2.9851587009504637
3.410459845s,63.14Joules,2.003969111798852
2.982765909s,59.01Joules,1.6380165695290232
2.601704501s,51.48Joules,1.2464360797163123
2.247499425s,48.27Joules,1.0096024442258325
13.792242435s,252.16Joules,32.36566863455812
8.044604825s,131.51Joules,9.845482353010258
5.579901467s,94.6Joules,4.912371144094026
4.352007806s,75.88Joules,3.07319765470574
3.437856295s,60.51Joules,1.9359243260383125
2.996487851s,54.21Joules,1.5116993756693708
2.525611268s,51.38Joules,1.2076306072357617
2.252252503s,47.71Joules,1.0
