duration_time,energy_consumption,relative EDP
5.034589993s,750.45Joules,4.541017364123855
3.572273143s,562.58Joules,2.4154399199144176
2.940328849s,462.53Joules,1.6345684198281214
2.663290295s,447.09Joules,1.431135501144821
2.371742049s,407.42Joules,1.1613873468809857
2.222565474s,396.75Joules,1.059836302805212
2.231107207s,359.4Joules,0.9637531360240565
2.166965911s,341.9Joules,0.8904683185772321
4.927197484s,779.7Joules,4.617371265277455
3.523585442s,534.94Joules,2.2654640388945597
2.965631245s,504.59Joules,1.798552338326458
2.621603775s,430.14Joules,1.3553272706737338
2.375084672s,413.22Joules,1.179580875219481
2.31919247s,378.28Joules,1.0544292991024582
2.183558461s,390.36Joules,1.0244657075208405
2.10792056s,351.74Joules,0.8911345695740162
4.954714354s,811.61Joules,4.833183717071258
3.527295442s,585.09Joules,2.480457584388999
2.900192388s,488.72Joules,1.7035473640750236
2.531022495s,424.66Joules,1.2918278790740647
2.326976079s,397.87Joules,1.1127571797563975
2.174335751s,358.02Joules,0.9356236419539755
2.175807471s,374.46Joules,0.9792491178675661
2.115584451s,387.93Joules,0.9863953703314675
4.969892178s,844.71Joules,5.045705454196276
3.516490808s,553.12Joules,2.33773964034461
2.860050457s,477.28Joules,1.6406435044491756
3.019191631s,444.02Joules,1.6112409976166224
2.341616923s,409.72Joules,1.1531088479303242
2.209743266s,395.97Joules,1.05165040899421
2.130760825s,398.88Joules,1.0215138446510148
2.107609597s,394.69Joules,0.9998010371951238
4.914382887s,862.88Joules,5.096672002106679
3.501595501s,575.02Joules,2.4200047494274233
2.913630362s,476.8Joules,1.6696982548085837
2.626512047s,431.59Joules,1.3624421248981688
2.48970492s,411.61Joules,1.231689069263273
2.17845932s,414.31Joules,1.0847812315765222
2.114573544s,390.75Joules,0.9930910625231103
2.208232848s,376.78Joules,1.0
